Code STIF;Nom de Ligne;Origine;Destination;Accessibilité UFR;Rampe;Annonce sonore prochain arrêt;Annonce visuelle prochain arrêt
1001110010001;RER A;SAINT-GERMAIN-EN-LAYE • POISSY • CERGY;BOISSY-SAINT-LÉGER • MARNE-LA-VALLÉE;1;0;1;1
1001000820001;82;LUXEMBOURG;HOPITAL AMERICAIN;1;1;1;1
1001000850001;85;LUXEMBOURG;MAIRIE DE SAINT-OUEN;1;1;1;1
1001000910001;91;MONTPARNASSE 2 - GARE TGV;BASTILLE;1;1;1;1
1001000940001;94;GARE MONTPARNASSE;LOUISON BOBET;1;1;1;1
1001001030001;103;ECOLE VETERINAIRE DE MAISONS-ALFORT;RUNGIS-MARCHE INTERNATIONAL;1;1;1;1
1001001050001;105;PORTE DES LILAS-METRO;MAIRIE DES PAVILLONS SOUS BOIS;1;1;1;1
1001001200001;120;NOGENT SUR MARNE-RER;NOISY-LE-GRAND - MONT D'EST RER;0;0;1;0
1001001210001;121;MAIRIE DE MONTREUIL;LYCEE GEORGES CLEMENCEAU;1;1;1;1
1001001310001;131;PORTE D'ITALIE-METRO;RUNGIS - LA FRATERNELLE RER;1;0;1;0
1001001430001;143;LA COURNEUVE - AUBERVILLIERS RER;ROSNY-SOUS-BOIS RER;1;1;1;1
1001001480001;148;PABLO PICASSO-METRO-TRAMWAY;MUSEE DE L'AIR ET DE L'ESPACE;1;1;1;1
1001001510001;151;PORTE DE PANTIN;JOUHAUX - BLUM;1;0;1;0
1001001570001;157;PONT DE NEUILLY-METRO;BOULEVARD DE LA SEINE;1;1;1;1
1001001590001;159;LA DEFENSE-METRO-RER-TRAMWAY;CITE DU VIEUX PONT;1;1;1;0
1001001620001;162;LOUIS ARAGON-METRO;GARE DE MEUDON-VAL FLEURY RER;1;1;1;0
1001001670001;167;AUDRA;PONT DE LEVALLOIS-METRO;1;1;1;0
1001001770001;177;GABRIEL PERI-METRO;ZONE INDUSTRIELLE NORD;1;1;1;1
1001001900001;190;MAIRIE D'ISSY-METRO;EGLISE DE MEUDON LA FORET;1;1;1;0
1001001930001;193;MAIRIE DE L'HAY-LES-ROSES;ARCUEIL LENINE;1;1;1;1
1001001960001;196;MASSY-PALAISEAU RER;ANTONY RER;1;1;1;0
1001001990001;199;MASSY-PALAISEAU-RER;LA ROCADE-LYCEE;1;1;1;0
1001002070001;207;NOISY LE GRAND MONT D'EST-RER;HOPITAL DE LA QUEUE EN BRIE;1;1;1;0
1001002130001;213;GARE DE CHELLES-GOURNAY-RER;LE VILLAGE;0;1;1;0
1001002160001;216;MARCHE INTERNATIONAL DE RUNGIS;DENFERT-ROCHEREAU-METRO-RER;0;1;1;0
1001002170001;217;RER DE VITRY-SUR-SEINE;HOTEL DE VILLE DE CRETEIL;1;1;1;1
1001002340001;234;FORT D'AUBERVILLIERS-METRO;MAIRIE DE LIVRY-GARGAN;1;1;1;0
1001002470001;247;STADE CHARLES SAGE;AULNAY SOUS BOIS-GARONOR;1;1;1;0
1001002520001;252;PORTE DE LA CHAPELLE-METRO;GARGES LES GONESSE-RER;1;1;1;0
1001002530001;253;STADE DE FRANCE-SAINT DENIS RER;MAIRIE DE STAINS;1;1;1;1
1001002600001;260;SUZANNE LEGLEN;BOULOGNE - GAMBETTA;1;1;1;1
1001002910001;291;PONT DE SEVRES-METRO;EUROPE SUD;1;1;1;1
1001003030001;303;NOISY LE GRAND MONT D'EST-RER;BOBIGNY-PABLO PICASSO;1;1;1;1
1001003180001;318;CHATEAU DE VINCENNES;RAYMOND QUENEAU -METRO;1;1;1;1
1001003190001;319;MASSY-PALAISEAU RER;RUNGIS-MARCHE INTERNATIONAL;1;0;1;0
1001003210001;321;LOGNES RER;TORCY RER;1;1;1;0
1001003930001;393;CARREFOUR DE LA RESISTANCE;SUCY-BONNEUIL RER;1;1;1;0
1001004210001;421;GARE DE VAIRES-TORCY;GARE D'EMERAINVILLE-PONTAULT COMBAULT;1;1;1;0
1001005190001;519;TRAVERSE NEY - FLANDRE;PORTE D'AUBERVILLIERS - OBERLE;1;1;1;0
1001005280001;528;PORTE DE CLICHY;GARE SAINT-LAZARE;0;1;0;0
1001005370001;537;DEBAIN;PAYRET;0;0;1;0
1001005380001;538;CENTRE DE VIE;ASNIERES - GENNEVILLIERS - LES COURTILLES;0;0;1;0
1001005590001;559;CHEMIN DE L'ILE;CIMETIERE DU MONT VALERIEN;1;1;1;0
1001005770001;577;GENNEVILLIERS RER;GABRIEL PERI-METRO;1;0;1;0
1001007610001;N61;HDV DE VELIZY-VILLACOUBLAY;GARE MONTPARNASSE;1;1;1;0
1001007620001;N62;ROBINSON RER;GARE MONTPARNASSE;1;0;1;1
1001007700001;N53;NANTERRE - UNIVERSITE RER;GARE SAINT-LAZARE;1;1;1;1
1001007730001;N35;NOGENT-LE-PERREUX RER;GARE DE LYON - DIDEROT;0;0;1;0
1001007810001;N16;MAIRIE DE MONTREUIL ROUGET;PONT DE LEVALLOIS-METRO;1;1;1;1
1001007830001;N14;MAIRIE DE SAINT-OUEN;MAIRIE DE SAINT-OUEN;0;0;1;0
1001120030001;T3B;PORTE DE VINCENNES;PORTE D'ASNIERES - MARGUERITE LONG;1;0;1;0
1001120180001;T8;EPINAY - ORGEMONT- VILLETANEUSE-UNIVERSITE;SAINT-DENIS - PORTE DE PARIS;1;0;1;1
1001100020001;2;PORTE DAUPHINE;NATION;0;0;0;0
1001100080001;8;BALARD;CRÉTEIL - PRÉFECTURE;0;0;0;0
1001100100001;10;BOULOGNE - PONT DE SAINT-CLOUD;GARE D'AUSTERLITZ;0;0;0;0
1001100140001;14;SAINT-LAZARE;BIBLIOTHÈQUE FRANÇOIS MITTERRAND;1;0;1;0
1001000220001;22;GARE SAINT LAZARE;PORTE DE SAINT-CLOUD;1;1;1;1
1001000420001;42;GARE SAINT-LAZARE;BOULOGNE - ILE SEGUIN;1;1;1;1
1001000480001;48;PORTE DES LILAS;GARE DU NORD;1;1;1;1
1001000540001;54;PORTE D'AUBERVILLIERS;GABRIEL PERI-METRO;1;1;1;1
