Date/Mensuel;Code UIC;Nom de la gare;Assistance simple;Rampe;Fauteuil;Rampe et  fauteuil;Total
2018-03;0087696328;Moulins sur Allier;92;11;5;0;108
2018-03;0087611038;Muret;11;4;2;0;17
2018-03;0087547307;Musée d'Orsay;0;0;0;0;0
2018-03;0087386318;Nanterre Université;1;11;0;1;13
2018-03;0087615732;Naucelle;0;0;0;0;0
2018-03;0087684126;Nemours Saint-Pierre;0;0;0;0;0
2018-03;0087765107;Orange;26;4;3;0;33
2018-03;0087543009;Orléans;212;52;43;4;311
2018-03;0087384008;Paris Saint-Lazare;461;347;200;27;1035
2018-03;0087784009;Perpignan;151;72;79;5;307
2018-03;0087271163;Pierrefitte - Stains;1;0;0;0;1
2018-03;0087141820;Pont-à-Mousson;4;37;0;0;41
2018-03;0087747493;Pontcharra sur Bréda - Allevard;1;1;0;0;2
2018-03;0087393165;Porchefontaine;5;0;0;0;5
2018-03;0087672279;Puyoô;8;0;2;0;10
2018-03;0087734749;Retournac;3;0;3;0;6
2018-03;0087681338;Ris-Orangis;0;0;0;0;0
2018-03;0087485144;Rochefort;21;9;3;0;33
2018-03;0087491803;Royan;10;6;7;0;23
2018-03;0087396408;Sablé-sur-Sarthe;55;9;16;0;80
2018-03;0087193318;Saint-Avold;2;2;0;0;4
2018-03;0087144014;Saint-Dié-des-Vosges;2;11;2;0;15
2018-03;0087491001;Saintes;95;33;34;3;165
2018-03;0087683318;Saint-Florentin - Vergigny;0;0;1;0;1
2018-03;0087576272;Saint-Florent-sur-Cher;2;0;0;0;2
2018-03;0087611137;Saint-Gaudens;49;9;2;0;60
2018-03;0087382804;Saint-Germain-en-Laye Grande Ceinture;0;0;0;0;0
2018-03;0087182139;Saint-Louis;33;11;1;0;45
2018-03;0087571240;Saint-Pierre-des-Corps;499;166;126;18;809
2018-03;0087393843;Saint-Quentin en Yvelines;1;0;0;0;1
2018-03;0087757526;Saint-Raphaël Valescure;90;33;82;9;214
